"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"N2DYA5FN","journalArticle","2020","Cao, Jiatian; Zheng, Yan; Luo, Zhe; Mei, Zhendong; Yao, Yumeng; Liu, Zilong; Liang, Chao; Yang, Hongbo; Song, Yanan; Yu, Kaihuan; Gao, Yan; Zhu, Chouwen; Huang, Zheyong; Qian, Juying; Ge, Junbo","Myocardial injury and COVID-19: Serum hs-cTnI level in risk stratification and the  prediction of 30-day fatality in COVID-19 patients with no prior cardiovascular  disease.","Theranostics","","1838-7640 1838-7640","10.7150/thno.47980","","Introduction: To explore the involvement of the cardiovascular system in coronavirus  disease 2019 (COVID-19), we investigated whether myocardial injury occurred in  COVID-19 patients and assessed the performance of serum high-sensitivity cardiac  Troponin I (hs-cTnI) levels in predicting disease severity and 30-day in-hospital  fatality. Methods: We included 244 COVID-19 patients, who were admitted to Renmin  Hospital of Wuhan University with no preexisting cardiovascular disease or renal  dysfunction. We analyzed the data including patients' clinical characteristics,  cardiac biomarkers, severity of medical conditions, and 30-day in-hospital fatality.  We performed multivariable Cox regressions and the receiver operating characteristic  analysis to assess the association of cardiac biomarkers on admission with disease  severity and prognosis. Results: In this retrospective observational study, 11% of  COVID-19 patients had increased hs-cTnI levels (>40 ng/L) on admission. Of note,  serum hs-cTnI levels were positively associated with the severity of medical  conditions (median [interquartile range (IQR)]: 6.00 [6.00-6.00] ng/L in 91 patients  with moderate conditions, 6.00 [6.00-18.00] ng/L in 107 patients with severe  conditions, and 11.00 [6.00-56.75] ng/L in 46 patients with critical conditions, P  for trend=0.001). Moreover, compared with those with normal cTnI levels, patients  with increased hs-cTnI levels had higher in-hospital fatality (adjusted hazard ratio  [95% CI]: 4.79 [1.46-15.69]). The receiver-operating characteristic curve analysis  suggested that the inclusion of hs-cTnI levels into a panel of empirical prognostic  factors substantially improved the prediction performance for severe or critical  conditions (area under the curve (AUC): 0.71 (95% CI: 0.65-0.78) vs. 0.65  (0.58-0.72), P=0.01), as well as for 30-day fatality (AUC: 0.91 (0.85-0.96) vs. 0.77  (0.62-0.91), P=0.04). A cutoff value of 20 ng/L of hs-cTnI level led to the best  prediction to 30-day fatality. Conclusions: In COVID-19 patients with no preexisting  cardiovascular disease, 11% had increased hs-cTnI levels. Besides empirical  prognostic factors, serum hs-cTnI levels upon admission provided independent  prediction to both the severity of the medical condition and 30-day in-hospital  fatality. These findings may shed important light on the clinical management of  COVID-19.","2020","2020-11-04 09:50:13","2020-11-04 09:50:13","","9663-9673","","21","10","","Theranostics","","","","","","","","eng","© The author(s).","","","","","","PMID: 32863952  PMCID: PMC7449913","","C:\Users\Louie Florendo Dy\Zotero\storage\WPI49GL8\Cao et al. - 2020 - Myocardial injury and COVID-19 Serum hs-cTnI leve.pdf","","Aged; Female; Humans; Male; Middle Aged; Pandemics; Retrospective Studies; Prognosis; China; Cohort Studies; Predictive Value of Tests; *COVID-19; Hospitalization; Troponin I/*blood; *in-hospital fatality; *myocardial injury; *Troponin I; Cardiomyopathies/blood/*etiology; Coronavirus Infections/blood/*complications/mortality; Pneumonia, Viral/blood/*complications/mortality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6HG8CMVN","journalArticle","2020","Chen, Chen; Chen, Chen; Jiangtao, Yan; Ning, Zhou; Jianping, Zhao; Daowen, Wang","Analysis of myocardial injury in patients with COVID-19 and association between concomitant cardiovascular diseases and severity of COVID-19","Chinese Journal of Cardiology","","0253-3758","10.3760/cma.j.cn112148-20200225-00123","http://rs.yiigle.com/yufabiao/1183794.htm","Objective To evaluate the cardiovascular damage of patients with COVID-19, and determine the correlation of serum N-terminal pro B-type natriuretic peptide (NT-proBNP) and cardiac troponin-I (cTnI) with the severity of COVID-19, and the impact of concomitant cardiovascular disease on severity of COVID-19 was also evaluated. Methods A cross-sectional study was designed on 150 consecutive patients with COVID-19 in the fever clinic of Tongji Hospital in Wuhan from January to February in 2020, including 126 mild cases and 24 cases in critical care. Both univariate and multivariate logistic regression were used to analyze the correlation of past medical history including hypertension, diabetes and coronary heart disease (CHD) , as well as the levels of serum NT-proBNP and cTnI to the disease severity of COVID-19 patients. Results Age, hypersensitive C-reactive protein(hs-CRP) and serum creatinine levels of the patients were higher in critical care cases than in mild cases(all P <0.05). Prevalence of male, elevated NT-proBNP and cTnI, hypertension and coronary heart disease were significantly higher in critical cases care patients than in the mild cases(all P <0.05). Univariate logistic regression analysis showed that age, male, elevated NT-proBNP, elevated cTnI, elevated hs-CRP, elevated serum creatinine, hypertension, and CHD were significantly correlated with critical disease status(all P <0.05). Multivariate logistic regression analysis showed that elevated cTnI( OR =26.909, 95% CI 4.086-177.226, P =0.001) and CHD ( OR =16.609, 95% CI 2.288-120.577, P =0.005) were the independent risk factors of critical disease status. Conclusions COVID-19 can significantly affect the heart function and lead to myocardial injury. The past medical history of CHD and increased level of cTnI are two independent determinants of clinical disease status in patients with COVID-19.","2020-03-06","2020-11-04 09:50:13","2020-11-04 09:50:13","2020-09-27 09:29:12","E008-E008","","00","48","","","","","","","","","","ch","info: Chinese Medical Association and Chinese Medical Journals Publishing House Co., Ltd.","","","","rs.yiigle.com","","Number: 00 Publisher: Chinese Medical Journals Publishing House Co., Ltd.","","C:\Users\Louie Florendo Dy\Zotero\storage\VS467UVL\Chen et al. - 2020 - Analysis of myocardial injury in patients with COV.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63YFU7BC","journalArticle","2020","Cummings, Matthew J.; Baldwin, Matthew R.; Abrams, Darryl; Jacobson, Samuel D.; Meyer, Benjamin J.; Balough, Elizabeth M.; Aaron, Justin G.; Claassen, Jan; Rabbani, LeRoy E.; Hastie, Jonathan; Hochman, Beth R.; Salazar-Schicchi, John; Yip, Natalie H.; Brodie, Daniel; O'Donnell, Max R.","Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19  in New York City: a prospective cohort study.","Lancet (London, England)","","1474-547X 0140-6736 0140-6736","10.1016/S0140-6736(20)31189-2","","BACKGROUND: Over 40 000 patients with COVID-19 have been hospitalised in New York  City (NY, USA) as of April 28, 2020. Data on the epidemiology, clinical course, and  outcomes of critically ill patients with COVID-19 in this setting are needed.  METHODS: This prospective observational cohort study took place at two  NewYork-Presbyterian hospitals affiliated with Columbia University Irving Medical  Center in northern Manhattan. We prospectively identified adult patients (aged ≥18  years) admitted to both hospitals from March 2 to April 1, 2020, who were diagnosed  with laboratory-confirmed COVID-19 and were critically ill with acute hypoxaemic  respiratory failure, and collected clinical, biomarker, and treatment data. The  primary outcome was the rate of in-hospital death. Secondary outcomes included  frequency and duration of invasive mechanical ventilation, frequency of vasopressor  use and renal replacement therapy, and time to in-hospital clinical deterioration  following admission. The relation between clinical risk factors, biomarkers, and  in-hospital mortality was modelled using Cox proportional hazards regression.  Follow-up time was right-censored on April 28, 2020 so that each patient had at  least 28 days of observation. FINDINGS: Between March 2 and April 1, 2020, 1150  adults were admitted to both hospitals with laboratory-confirmed COVID-19, of which  257 (22%) were critically ill. The median age of patients was 62 years (IQR 51-72),  171 (67%) were men. 212 (82%) patients had at least one chronic illness, the most  common of which were hypertension (162 [63%]) and diabetes (92 [36%]). 119 (46%)  patients had obesity. As of April 28, 2020, 101 (39%) patients had died and 94 (37%)  remained hospitalised. 203 (79%) patients received invasive mechanical ventilation  for a median of 18 days (IQR 9-28), 170 (66%) of 257 patients received vasopressors  and 79 (31%) received renal replacement therapy. The median time to in-hospital  deterioration was 3 days (IQR 1-6). In the multivariable Cox model, older age  (adjusted hazard ratio [aHR] 1·31 [1·09-1·57] per 10-year increase), chronic cardiac  disease (aHR 1·76 [1·08-2·86]), chronic pulmonary disease (aHR 2·94 [1·48-5·84]),  higher concentrations of interleukin-6 (aHR 1·11 [95%CI 1·02-1·20] per decile  increase), and higher concentrations of D-dimer (aHR 1·10 [1·01-1·19] per decile  increase) were independently associated with in-hospital mortality. INTERPRETATION:  Critical illness among patients hospitalised with COVID-19 in New York City is  common and associated with a high frequency of invasive mechanical ventilation,  extrapulmonary organ dysfunction, and substantial in-hospital mortality. FUNDING:  National Institute of Allergy and Infectious Diseases and the National Center for  Advancing Translational Sciences, National Institutes of Health, and the Columbia  University Irving Institute for Clinical and Translational Research.","2020-06-06","2020-11-04 09:50:13","2020-11-04 09:50:13","","1763-1770","","10239","395","","Lancet","","","","","","","","eng","Copyright © 2020 Elsevier Ltd. All rights reserved.","","","","","","PMID: 32442528  PMCID: PMC7237188","","C:\Users\Louie Florendo Dy\Zotero\storage\MZSZHP79\Cummings et al. - 2020 - Epidemiology, clinical course, and outcomes of cri.pdf","","Adult; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Pandemics; Young Adult; Age Factors; Betacoronavirus; Fibrin Fibrinogen Degradation Products/analysis; Risk Factors; Prospective Studies; Biomarkers/blood; Respiration, Artificial; Hospitalization; Hospital Mortality; Respiratory Distress Syndrome, Adult/virology; Proportional Hazards Models; New York City/epidemiology; Critical Illness/epidemiology; Interleukin-6/blood; Coronavirus Infections/*epidemiology/mortality/*therapy; Pneumonia, Viral/*epidemiology/mortality/*therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3A783NZY","journalArticle","2020","Deng, Qing; Hu, Bo; Zhang, Yao; Wang, Hao; Zhou, Xiaoyang; Hu, Wei; Cheng, Yuting; Yan, Jie; Ping, Haiqin; Zhou, Qing","Suspected myocardial injury in patients with COVID-19: Evidence from front-line  clinical observation in Wuhan, China.","International journal of cardiology","","1874-1754 0167-5273 0167-5273","10.1016/j.ijcard.2020.03.087","","BACKGROUND: A novel coronavirus disease (COVID-19) in Wuhan has caused an outbreak  and become a major public health issue in China and great concern from international  community. Myocarditis and myocardial injury were suspected and may even be  considered as one of the leading causes for death of COVID-19 patients. Therefore,  we focused on the condition of the heart, and sought to provide firsthand evidence  for whether myocarditis and myocardial injury were caused by COVID-19. METHODS: We  enrolled patients with confirmed diagnosis of COVID-19 retrospectively and collected  heart-related clinical data, mainly including cardiac imaging findings, laboratory  results and clinical outcomes. Serial tests of cardiac markers were traced for the  analysis of potential myocardial injury/myocarditis. RESULTS: 112 COVID-19 patients  were enrolled in our study. There was evidence of myocardial injury in COVID-19  patients and 14 (12.5%) patients had presented abnormalities similar to myocarditis.  Most of patients had normal levels of troponin at admission, that in 42 (37.5%)  patients increased during hospitalization, especially in those that died. Troponin  levels were significantly increased in the week preceding the death. 15 (13.4%)  patients have presented signs of pulmonary hypertension. Typical signs of  myocarditis were absent on echocardiography and electrocardiogram. CONCLUSIONS: The  clinical evidence in our study suggested that myocardial injury is more likely  related to systemic consequences rather than direct damage by the 2019 novel  coronavirus. The elevation in cardiac markers was probably due to secondary and  systemic consequences and can be considered as the warning sign for recent adverse  clinical outcomes of the patients.","2020-07-15","2020-11-04 09:50:13","2020-11-04 09:50:13","","116-121","","","311","","Int J Cardiol","","","","","","","","eng","Copyright © 2020 Elsevier B.V. All rights reserved.","","","","","","PMID: 32291207  PMCID: PMC7141178","","C:\Users\Louie Florendo Dy\Zotero\storage\NSQ2L76D\Deng et al. - 2020 - Suspected myocardial injury in patients with COVID.pdf","","Adult; Female; Humans; Male; Middle Aged; Pandemics; Retrospective Studies; Treatment Outcome; Comorbidity; Prognosis; China; Cohort Studies; Biomarkers/blood; Risk Assessment; *COVID-19; Severity of Illness Index; Survival Analysis; Hospitalization/*statistics & numerical data; *Cause of Death; *Cardiac marker; *Myocardial injury; *Myocarditis; *Novel coronavirus; Coronary Angiography/methods; Coronavirus Infections/*diagnosis/*epidemiology; Echocardiography, Doppler/methods; Hospitals, University; Myocardial Infarction/diagnosis/*epidemiology/therapy; Myocarditis/diagnosis/*epidemiology/therapy; Pneumonia, Viral/*diagnosis/*epidemiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UIYK76XZ","journalArticle","2020","Gao, Lei; Jiang, Dan; Wen, Xue-Song; Cheng, Xiao-Cheng; Sun, Min; He, Bin; You, Lin-Na; Lei, Peng; Tan, Xiao-Wei; Qin, Shu; Cai, Guo-Qiang; Zhang, Dong-Ying","Prognostic value of NT-proBNP in patients with severe COVID-19.","Respiratory research","","1465-993X 1465-9921 1465-9921","10.1186/s12931-020-01352-w","","BACKGROUND: The outbreak of coronavirus disease 2019 (COVID-19) caused by severe  acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in China has been declared a  public health emergency of international concern. The cardiac injury is a common  condition among the hospitalized patients with COVID-19. However, whether N terminal  pro B type natriuretic peptide (NT-proBNP) predicted outcome of severe COVID-19  patients was unknown. METHODS: The study initially enrolled 102 patients with severe  COVID-19 from a continuous sample. After screening out the ineligible cases, 54  patients were analyzed in this study. The primary outcome was in-hospital death  defined as the case fatality rate. Research information and following-up data were  obtained from their medical records. RESULTS: The best cut-off value of NT-proBNP  for predicting in-hospital death was 88.64 pg/mL with the sensitivity for 100% and  the specificity for 66.67%. Patients with high NT-proBNP values (> 88.64 pg/mL) had  a significantly increased risk of death during the days of following-up compared  with those with low values (≤88.64 pg/mL). After adjustment for potential risk  factors, NT-proBNP was independently correlated with in-hospital death. CONCLUSION:  NT-proBNP might be an independent risk factor for in-hospital death in patients with  severe COVID-19. TRIAL REGISTRATION: ClinicalTrials, NCT04292964. Registered 03  March 2020.","2020-04-15","2020-11-04 09:50:13","2020-11-04 09:50:13","","83","","1","21","","Respir Res","","","","","","","","eng","","","","","","","PMID: 32293449  PMCID: PMC7156898","","C:\Users\Louie Florendo Dy\Zotero\storage\8QDWUNQ3\Gao et al. - 2020 - Prognostic value of NT-proBNP in patients with sev.pdf","","Adult; Aged; Female; Humans; Male; Middle Aged; Retrospective Studies; Prognosis; Betacoronavirus; Clinical Laboratory Techniques; Risk Factors; COVID-19; SARS-CoV-2; *Pandemics; *Hospital Mortality; Predictive Value of Tests; Mortality; *Coronavirus Infections/diagnosis/mortality; *Pneumonia, Viral/diagnosis/mortality; Natriuretic Peptide, Brain/*analysis; NT-proBNT; Outcome; Peptide Fragments/*analysis; Reference Values","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPVLJFBH","journalArticle","2020","Ge, Heng; Zhu, Mingli; Du, Jing; Zhou, Yong; Wang, Wei; Zhang, Wei; Jiang, Handong; Qiao, Zhiqing; Gu, Zhichun; Li, Fenghua; Pu, Jun","Cardiac Structural and Functional Characteristics in Patients with Coronavirus Disease 2019: A Serial Echocardiographic Study","medRxiv","","","10.1101/2020.05.12.20095885","http://medrxiv.org/content/early/2020/05/18/2020.05.12.20095885.abstract","BACKGROUND: Increasing attention has been paid to cardiac involvement in patients with coronavirus disease 2019 (COVID-19). Yet, scarce information is available regarding the morphological and functional features of cardiac impairments in these patients. METHODS: We conducted a prospective and serial echocardiographic study to investigate the structural and functional cardiac changes among COVID-19 patients admitted to the intensive care unit (ICU). From January 21 to April 8, 2020, a total of 51 ICU patients (31 critically ill and 20 severely ill) with confirmed COVID-19 were monitored by serial transthoracic echocardiography examinations. Outcomes were followed up until April 8, 2020. RESULTS: Of 51 ICU patients, 33 (64.7%) had cardiovascular comorbidities. Elevations of levels of cardiac biomarkers including high-sensitivity cardiac troponin-I (hs-cTnI) and brain natriuretic peptide were observed in 62.7% and 86.3% of patients, respectively. Forty-two (82.3%) had at least one left-heart and/or right-heart echocardiographic abnormality. The overall median left ventricular ejection fraction (LVEF) was 65.0% (IQR 58.0-69.0%), with most (44,86.3%) having preserved LVEF. Sixteen patients (31.4%) had increased pulmonary artery systolic pressure, and 14 (27.5%) had right-ventricle (RV) enlargement. During the study period, 12 (23.5%) patients died. LVEF was comparable between survivors and non-survivors, while non-survivors had more often pulmonary hypertension (58.3% vs. 23.1%; P=0.028) and RV enlargement (58.3% vs. 17.9%, P=0.011). Kaplan-Meier analysis demonstrated similar survival curves between patients with vs. without echocardiographic left-heart abnormalities (P=0.450 by log-rank test), while right-heart abnormalities had adverse impact on mortality (P=0.012 by log-rank test). CONCLUSIONS: Typical cardiac abnormality in ICU patients with COVID-19 was right-heart dysfunction with preserved LVEF. Echocardiographic right-heart dysfunction was associated with disease severity and increased mortality in patients affected by COVID-19.Competing Interest StatementThe authors have declared no competing interest.Clinical Trial NCT04352842Funding StatementThis work is supported by National Science Fund for Distinguished Young Scholars [81625002], National Natural Science Foundation of China (81930007, 81770238), Shanghai Outstanding Academic Leaders Program (18XD1402400), Shanghai Shen Kang Hospital Development Center (16CR3034A), and Shanghai Health and Family Planning commission (20184Y0022).Author DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesAll epidemiological, clinical, laboratory, and outcome parameters were prospectively collected with standardized data collection forms from an electronic medical records system.","2020-01-01","2020-11-04 09:50:13","2020-11-04 09:50:13","","2020.05.12.20095885","","","","","","","","","","","","","","","","","","","","","","C:\Users\Louie Florendo Dy\Zotero\storage\4NHDV8E2\Ge et al. - 2020 - Cardiac Structural and Functional Characteristics .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PI8NNFHY","journalArticle","2020","Gil-Rodrigo, Adriana; Miró, Òscar; Piñera, Pascual; Burillo-Putze, Guillermo; Jiménez, Sònia; Martín, Alfonso; Martín-Sánchez, Francisco Javier; Jacob, Javier; Guardiola, Josep María; García-Lamberechts, Eric Jorge; Espinosa, Begoña; Martín Mojarro, Enrique; González Tejera, Matilde; Serrano, Leticia; Agüera, Carmen; Soy, Ester; Llauger, Lluís; Juan, María Ángeles; Palau, Anna; Del Arco, Carmen; Rodríguez Miranda, Belén; Maza Vera, María Teresa; Martín Quirós, Alejandro; Tejada de Los Santos, Laura; Ruiz de Lobera, Noemí; Iglesias Vela, Marta; Torres Garate, Raquel; Alquézar-Arbé, Aitor; González Del Castillo, Juan; Llorens, Pere","Analysis of clinical characteristics and outcomes in patients with COVID-19 based on  a series of 1000 patients treated in Spanish emergency departments.","Emergencias : revista de la Sociedad Espanola de Medicina de Emergencias","","2386-5857 1137-6821","","","OBJECTIVES: To describe the clinical characteristics of patients with coronavirus  disease 2019 (COVID-19) treated in hospital emergency departments (EDs) in Spain,  and to assess associations between characteristics and outcomes. MATERIAL AND  METHODS: Prospective, multicenter, nested-cohort study. Sixty-one EDs included a  random sample of all patients diagnosed with COVID-19 between March 1 and April 30,  2020. Demographic and baseline health information, including concomitant conditions;  clinical characteristics related to the ED visit and complementary test results; and  treatments were recorded throughout the episode in the ED. We calculated crude and  adjusted odds ratios for risk of in-hospital death and a composite outcome  consisting of the following events: intensive care unit admission, orotracheal  intubation or mechanical ventilation, or in-hospital death. The logistic regression  models were constructed with 3 groups of independent variables: the demographic and  baseline health characteristics, clinical characteristics and complementary test  results related to the ED episode, and treatments. RESULTS: The mean (SD) age of  patients was 62 (18) years. Most had high- or low-grade fever, dry cough, dyspnea,  and diarrhea. The most common concomitant conditions were cardiovascular diseases,  followed by respiratory diseases and cancer. Baseline patient characteristics that  showed a direct and independent association with worse outcome (death and the  composite outcome) were age and obesity. Clinical variables directly associated with  worse outcomes were impaired consciousness and pulmonary crackles; headache was  inversely associated with worse outcomes. Complementary test findings that were  directly associated with outcomes were bilateral lung infiltrates, lymphopenia, a  high platelet count, a D-dimer concentration over 500 mg/dL, and a  lactate-dehydrogenase concentration over 250 IU/L in blood. CONCLUSION: This profile  of the clinical characteristics and comorbidity of patients with COVID-19 treated in  EDs helps us predict outcomes and identify cases at risk of exacerbation. The  information can facilitate preventive measures and improve outcomes.","2020","2020-11-04 09:50:13","2020-11-04 09:50:13","","233-241","","4","32","","Emergencias","","","","","","","","spa","","","","","","","Place: Spain PMID: 32692000","","C:\Users\Louie Florendo Dy\Zotero\storage\7X57EMT6\Gil-Rodrigo et al. - 2020 - Analysis of clinical characteristics and outcomes .pdf","","Adult; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Pandemics; Respiration, Artificial/statistics & numerical data; Comorbidity; Prognosis; Young Adult; Adolescent; Age Factors; *Betacoronavirus; Age Distribution; Cardiovascular Diseases/epidemiology; Prospective Studies; *SARS-CoV-2; *COVID-19; Hospital Mortality; Sex Distribution; Logistic Models; Odds Ratio; *Comorbidity; Child; Child, Preschool; Infant; Infant, Newborn; Spain/epidemiology; Emergency Service, Hospital/*statistics & numerical data; *Características clínicas; *Clinical characteristics; *Comorbilidades; *Coronavirus disease 2019 (COVID-19); *Emergency health services; *Servicios de urgencias; *Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); *Symptom Assessment; Coronavirus Infections/*diagnosis/*epidemiology/mortality/therapy; Intubation, Intratracheal/statistics & numerical data; Neoplasms/epidemiology; Obesity/complications; Pneumonia, Viral/*diagnosis/*epidemiology/mortality/therapy; Respiration Disorders/epidemiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7FFMUQPT","journalArticle","2020","Huang, Mao; Yang, Yi; Shang, Futai; Zheng, Yishan; Zhao, Wenjing; Luo, Liang; Han, Xudong; Lin, Aihua; Zhao, Hongsheng; Gu, Qing; Shi, Yi; Li, Jun; Xu, Xingxiang; Liu, Kexi; Deng, YiJun; Cao, Quan; Wang, Weiwei","Clinical Characteristics and Predictors of Disease Progression in Severe Patients  with COVID-19 Infection in Jiangsu Province, China: A Descriptive Study.","The American journal of the medical sciences","","1538-2990 0002-9629","10.1016/j.amjms.2020.05.038","","BACKGROUND: We studied patients with coronavirus disease 2019 (COVID-19) infected by  severe acute respiratory syndrome coronavirus 2, a virus that originated in Wuhan,  China, and is spreading over the country including Jiangsu Province. We studied the  clinical characteristics and therapies of severe cases in Jiangsu Province. METHODS:  A multicenter retrospective cohort study was conducted to analyze clinical,  laboratory data and treatment of 60 severe cases with COVID-19 infection in Jiangsu  Province between January 24, 2020 and April 20, 2020. The improvement and  deterioration subgroups were compared to identify predictors of disease progression.  RESULTS: A total of 653 infected cases with COVID-19 were reported in Jiangsu  Province, of which 60 severe cases were included in this study. Up until April 20,  2020, the mortality of severe patients was 0%. The median age was 57 years. The  average body mass index of these patients was 25 kg/m². White blood cell counts  decreased in 45.0% of patients, lymphopenia in 63.3%, thrombocytopenia in 13.3% and  procalcitonin levels in 88.3% of the patients were less than 0.5 ng/mL. There were  no statistically significant differences in immunoglobulin therapy and GCs therapy  between the improvement and deterioration subgroups. Logistic regression analysis  identified higher levels of troponin T (odds ratio [OR]: 1.04; 95% confidence  interval [CI]: 1.00-1.08; P = 0.04), antiviral therapy with aerosol inhalation of  interferon (OR: 6.33; 95% CI: 1.18-33.98; P = 0.03), and the application of  non-invasive mechanical ventilation (OR: 1.99; 95%CI: 1.17-3.41; P = 0.01) as  predictors of disease progression, whereas higher lymphocyte count (OR: 0.11; 95%  CI: 0.02-0.57; P = 0.01) and early prone ventilation were associated with  improvement (OR: 0.11; 95% CI: 0.01-0.98; P = 0.04). CONCLUSIONS: COVID-19 infection  had a low mortality rate in Jiangsu Province, China. The higher levels of troponin T  and lower lymphocyte count were predictors of disease progression. Early prone  ventilation may be an effective treatment for severe cases.","2020-08","2020-11-04 09:50:13","2020-11-04 09:50:13","","120-128","","2","360","","Am J Med Sci","","","","","","","","eng","Copyright © 2020 Southern Society for Clinical Investigation. Published by Elsevier  Inc. All rights reserved.","","","","","","Place: United States PMID: 32709280","","C:\Users\Louie Florendo Dy\Zotero\storage\6JSBEQXL\Huang et al. - 2020 - Clinical Characteristics and Predictors of Disease.pdf","","Adult; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Retrospective Studies; China; *Betacoronavirus; *Pandemics; *COVID-19; *Coronavirus Infections/blood/mortality/therapy; *Pneumonia, Viral/blood/mortality/therapy; *Critical care; *Disease progression; *Respiratory Distress Syndrome, Adult/blood/mortality/therapy; *Severe patients","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5PSB25H3","journalArticle","2020","Knight Daniel S.; Kotecha Tushar; Razvi Yousuf; Chacko Liza; Brown James T.; Jeetley Paramjit S.; Goldring James; Jacobs Michael; Lamb Lucy E.; Negus Rupert; Wolff Anthony; Moon James C.; Xue Hui; Kellman Peter; Patel Niket; Fontana Marianna","Myocardial Injury in Survivors","Circulation","","","10.1161/CIRCULATIONAHA.120.049252","https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.120.049252","","2020-09-15","2020-11-04 09:50:13","2020-11-04 09:50:13","2020-09-26 10:45:46","1120-1122","","11","142","","Circulation","","","","","","","","","","","","","ahajournals.org (Atypon)","","Publisher: American Heart Association","","C:\Users\Louie Florendo Dy\Zotero\storage\7ZQYYANK\Knight Daniel S. et al. - 2020 - Covid-19.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5UVBEYTP","journalArticle","2020","Li, Yuman; Li, He; Li, Meng; Zhang, Li; Xie, Mingxing","The prevalence, risk factors and outcome of cardiac dysfunction in hospitalized patients with COVID-19","Intensive Care Medicine","","1432-1238","10.1007/s00134-020-06205-0","https://doi.org/10.1007/s00134-020-06205-0","","2020-08-07","2020-11-04 09:50:13","2020-11-04 09:50:13","2020-09-27 09:02:16","","","","","","Intensive Care Med","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Louie Florendo Dy\Zotero\storage\QVUXS434\Li et al. - 2020 - The prevalence, risk factors and outcome of cardia.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
